URL,Name,Type,Self-Description,Purpose,Some Associated Projects,District,Country,Language,Topic,Topic,Topic,Topic,Topic,Notes
https://theodi.org/newsletters,Open Data Institute,Newsletter,"There's always something exciting going on in the world of data. Keep your finger on the pulse with our regular e-shots – featuring everything from breaking news to cutting-edge innovations, free talks to major event discounts","Announcements, Events publicity and calls for papers/partners for ODI projects",,,UK,English,Open Data,,,,,
https://supporters.eff.org/,Electronic Frontier Foundation,Newsletter,"The Electronic Frontier Foundation is the leading nonprofit organization defending civil liberties in the digital world. Founded in 1990, EFF champions user privacy, free expression, and innovation through impact litigation, policy analysis, grassroots activism, and technology development. We work to ensure that rights and freedoms are enhanced and protected as our use of technology grows.",Campaigns and fundraising for the EFF,,,USA,English,Privacy,Surveillance,Activism,,,
http://www.wearecast.org.uk/,Centre for Acceleration of Social Technology,Newsletter,"We help funders, nonprofits, businesses and government put digital at the heart of their service delivery and drive organisational change",,lots,,UK,English,,,,,,
http://www.datakind.org/get-involved?type=data_scientist,Datakind UK ,Mailing List/Newsletter,"Join thousands of data do-gooders, mission-driven organizations and data lovers around the world eager to use data science in the service of humanity. If you’re an organization proposing a project, we’ll review your needs and let you know if we can help. If you’re signing up to volunteer, we’ll review your skills and keep in touch as projects come up that are a fit for your background. If you just think data is a force for good and want to stay in touch with others that feel exactly the same, you’ve come to the right place. Welcome to the DataKind family!",,,,UK,English,AI,Data Science,,,,
https://www.dashingd3js.com/data-visualization-and-d3-newsletter,Data Visualization & D3.js Weekly Newsletter,Newsletter,"Get D3.js and Data Visualization news, articles, jobs and more delivered to your inbox every Tuesday.",Data visualisation tools and information,,,worldwide,English,Data Visualisation,d3.js,,,,
https://www.oreilly.com/feed/four-short-links,Four Short Links,Newsletter,Nat Torkington's eclectic collection of curated links.,4 short links about (mostly research oriented) technology every weekday.,,,USA,English,coding for research,data Science,web design,online security,,
https://www.schneier.com/crypto-gram/,Schneier on Security,Newsletter,"A security-focused monthly newsletter curated by Bruce Schneier, one of the most famous security experts in the world.",Provide collection of up to date security media,,,USA,English,open data,data science,data security,online security,,
https://tinyletter.com/data-is-plural,Data is Plural,Newsletter,A weekly newsletter of useful/curious datasets. Archive available as a spreadsheet here.,Collection and disemination of some open datasets,,,USA,English,open data,data visualisation,,,,
https://changelog.com/weekly,Changelog Weekly,Newsletter,Every weekend we ship our editorialized take on this week in open source and software development,Newsletter covering the open source community - releases and announcements plus new tools,,,International,English,open data,Open Source,,,,
https://github.com/vredniy/awesome-newsletters,Awesome newsletters,Github repository,A list of amazing Newsletters,,,,,English,Civic Technology,,,,,"Pulled out a few obvious ones, wrt political technology. "
