URL,Name,Type,Self-Description,Purpose,Topics,Projects,Language,Country,District,Notes
https://groups.google.com/forum/#!forum/democracy-club,Democracy Club,mailing list,"Democracy Club aims to make the process of democracy better for everyone. We believe that there is a lot of work needed to be done to bring the UK political system in the to digital age, and our tools are a start.",Crowdsource UK Election Data,"civic tech,elections,democracy","WhereDoIVote, WhoCanIVoteFor, Candidates, ElectionIDs, ElectionLeaflets, ElectionMentions, CandidateCVs, MeetYourNextMP",English,uk,south east,
http://democracyclub.slack.com,Democracy Club,slack team,"Democracy Club aims to make the process of democracy better for everyone. We believe that there is a lot of work needed to be done to bring the UK political system in the to digital age, and our tools are a start.",Crowdsource UK Election Data,"civic tech,elections,democracy","WhereDoIVote, WhoCanIVoteFor, Candidates, ElectionIDs, ElectionLeaflets, ElectionMentions, CandidateCVs, MeetYourNextMP",English,uk,south east,
https://groups.google.com/forum/#!forum/poplus,Poplus,mailing list,"A global federation for civic tech, sharing technology to help civic and democratic projects… everywhere",Create open source civic tech components,civic tech,"(WriteIt, Write and send messages to public figures) (MapIt, Map geographic points to administrative boundaries) (BillIt, Record, search and track bills as they change) (SayIt, Search, browse and share your transcripts) (Represent Boundaries, Match your users with location-based information) (Cuttlefish, A lovely, easy-to-set-up transactional email server)",English,international,,
http://www.meetup.com/Journocoders/,Journocoders,meetup group,"Journocoders is a monthly event for exchanging practical advice on coding in relation to journalism, whether that's making an incredible data visualisation, scraping gigs of data off the web or building a novelty Twitter bot.",Teach journalists to code,"journalism,learn to code",,English,uk,london,In Person Event
https://www.mysociety.org/subscribe/,My Society,mailing list,"We build and share digital technologies that give people the power to get things changed, across the three areas of Democracy, Freedom of Information, and Better Cities.",Civic Engagement,"democracy,civic tech,foi","FixMyStreet, WhatDoTheyKnow (freedom of information), TheyWorkForYou (parlimentary monitoring), Alaveteli users/discussion group",English,uk,,
http://groups.dowire.org/groups/exchange,Democracies Online Exchange,forum,"Join over 750 members on the two-way Democracies Online Exchange ... a global who's who of experts, practitioners, and researchers on open government, civic technology, participation, transparency and all things e-democracy.","Announce, source/make & discuss, democratic structure tools (Civic Engagement)","campaigning,democracy,announcments,academia,internationalism",,English,uk,,
https://www.facebook.com/groups/thefourthgroup/,The Fourth Group,facebook group,We are a group of people working together to create a new politics for the fourth industrial revolution.,"Civic Engagement, Campaigning","newpolitics,democracy,community organising,technology",,English,uk,,
https://datafordemocracy.slack.com/,Data For Democracy,slack team,Like-minded people from around the world gathered to work on technology that has an impact. No structure. No rules. Just code commits and lots of Slack messages,Make digital tools for democracy,"digital democracy,open data,democracy",,English,,,
https://github.com/data4democracy,Data For Democracy,github repository,Like-minded people from around the world gathered to work on technology that has an impact. No structure. No rules. Just code commits and lots of Slack messages,Make digital tools for democracy,"data collection/interpretation,democracy,community org,technology,internatlonalism","understanding the behavior of online communities, election transparency, a USA dashboard (like KPIs for America), analysis on the extreme right, Medicare drug spending, and campaign spending",English,us,,
https://pds.blog.parliament.uk/uk-parliament-data-mailing-list/,UK Parliament Data mailing list,mailing list,Mailing list to discuss UK parliament's data,"Connecting groups, building connections.","open data,uk parliament,democracy,digital democracy",,English,uk,,
